Time	Length	Type
		
0	Short	Saying 'Hi/Thank You'
0	Short	Other
1	Long	Other
2	Medium	Discussing Assignment/Submissions
7	Medium	Discussing Assignment/Submissions
8	Short	Saying 'Hi/Thank You'
8	Short	Other
9	Short	Other
9	Medium	Saying 'Hi/Thank You'
9	Short	Saying 'Hi/Thank You'
9	Short	Saying 'Hi/Thank You'
9	Short	Other
10	Long	Discussing Assignment/Submissions
11	Medium	Saying 'Hi/Thank You'
11	Medium	Saying 'Hi/Thank You'
11	Medium	Other
11	Medium	Saying 'Hi/Thank You'
11	Short	Saying 'Hi/Thank You'
11	Short	Smiling at the person
12	Short	Smiling at the person
12	Short	Smiling at the person
12	Short	Other
12	Short	Smiling at the person
12	Short	Saying 'Hi/Thank You'
12	Short	Smiling at the person
12	Short	Saying 'Hi/Thank You'
12	Short	Saying 'Hi/Thank You'
12	Short	Saying 'Hi/Thank You'
12	Short	Other
12	Short	Saying 'Hi/Thank You'
13	Short	Smiling at the person
13	Short	Smiling at the person
13	Short	Saying 'Hi/Thank You'
13	Short	Other
13	Short	Other
13	Short	Saying 'Hi/Thank You'
13	Short	Other
19	Short	Other
19	Short	Discussing Assignment/Submissions
19	Medium	Saying 'Hi/Thank You'
19	Short	Other
19	Short	Saying 'Hi/Thank You'
20	Short	Saying 'Hi/Thank You'
20	Medium	Saying 'Hi/Thank You'
22	Short	Other
22	Short	Other
22	Short	Other
22	Short	Smiling at the person
