Time 	Length	Type
		
17	Short	Skype/Facebook
18	Short	Email
18	Long	Skype/Facebook
18	Medium	Text Message
18	Medium	Email
18	Short	Email
18	Short	Phone Call
18	Long	Email
19	Short	Text Message
19	Short	Text Message
20	Long	Phone Call
20	Medium	Text Message
21	Medium	Text Message
21	Short	Text Message
21	Short	Text Message
22	Short	Text Message
22	Short	Phone Call
22	Short	Text Message
22	Short	Phone Call
22	Long	Phone Call
22	Medium	Email
23	Short	Email
23	Short	Phone Call
23	Medium	Phone Call
23	Short	Phone Call
23	Short	Phone Call
0	Medium	Phone Call
0	Short	Skype/Facebook
7	Short	Phone Call
7	Short	Phone Call
7	Short	Email
7	Short	Phone Call
8	Short	Text Message
8	Short	Text Message
8	Short	Text Message
9	Medium	Phone Call
10	Medium	Phone Call
11	Short	Text Message
11	Short	Text Message
11	Short	Text Message
12	Medium	Email
15	Short	Text Message
15	Short	Text Message
19	Medium	Phone Call
19	Medium	Phone Call
20	Short	Text Message
20	Short	Text Message
20	Short	Skype/Facebook
21	Short	Skype/Facebook
21	Long	Phone Call
22	Long	Phone Call
22	Short	Text Message
22	Short	Text Message
22	Short	Text Message
22	Short	Text Message
23	Short	Text Message
23	Long	Text Message
0	Medium	Phone Call
0	Short	Email
7	Short	Phone Call
7	Short	Phone Call
8	Short	Phone Call
8	Medium	Text Message
10	Medium	Phone Call
11	Short	Phone Call
11	Short	Text Message
11	Short	Text Message
11	Long	Skype/Facebook
12	Short	Skype/Facebook
12	Short	Text Message
12	Short	Text Message
12	Medium	Phone Call
12	Short	Text Message
12	Short	Text Message
12	Short	Text Message
12	Short	Text Message
12	Short	Text Message
12	Short	Text Message
13	Short	Email
13	Short	Text Message
13	Short	Text Message
13	Short	Text Message
13	Short	Text Message
15	Short	Email
15	Short	Skype/Facebook
16	Short	Text Message
17	Short	Text Message
17	Medium	Phone Call
18	Short	Phone Call
19	Medium	Phone Call
20	Short	Text Message
20	Short	Text Message
20	Medium	Phone Call
22	Short	Phone Call
22	Medium	Skype/Facebook
23	Medium	Phone Call
23	Short	Phone Call
23	Medium	Text Message
23	Short	Text Message
7	Short	Phone Call
9	Short	Text Message
10	Medium	Text Message
10	Short	Text Message
10	Short	Text Message
10	Short	Text Message
11	Short	Phone Call
11	Short	Text Message
11	Short	Text Message
11	Long	Skype/Facebook
11	Medium	Skype/Facebook
11	Short	Text Message
12	Short	Text Message
12	Short	Text Message
12	Short	Text Message
12	Short	Text Message
12	Medium	Text Message
12	Medium	Text Message
12	Short	Text Message
12	Medium	Email
12	Short	Email
13	Short	Text Message
13	Short	Text Message
13	Short	Text Message
13	Short	Text Message
14	Short	Text Message
15	Short	Text Message
16	Short	Text Message
17	Medium	Phone Call
18	Medium	Phone Call
18	Medium	Phone Call
18	Short	Text Message
19	Medium	Text Message
